date,country,course,off_time,race_name,race_type,race_class,distance,distance_furlongs,going,surface,number_of_runners,card_number,position,draw,horse_id,horse,age,sex,weight_carried_lbs,sp_dec,jockey,trainer,prize,official_rating,sire,dam,damsire
2023-06-17,GB,Bath,14:30,Olivias Boutique Racewear Handicap,Flat,Class 6,1m2f,10f,Firm,Turf,6,5,5.0,4,1419106,Uther Pendragon (IRE),8,G,127,15.0,Georgia Dobie,J S Moore,189.72,50.0,Dragon Pulse (IRE),Unreal (GB),Dansili
2023-06-17,GB,Bath,14:30,Olivias Boutique Racewear Handicap,Flat,Class 6,1m2f,10f,Firm,Turf,6,2,6.0,6,4265146,Beautiful Eyes (GB),3,F,134,7.0,Joe Fanning,Charlie Johnston,,66.0,Bobbys Kitten (USA),Forthefirstime (GB),Dr Fong
2023-06-17,GB,Bath,17:15,Rosemary Paintings 80th Birthday Apprentice Handicap (Bath Summer Stayers Series Qualifier),Flat,Class 5,2m1f,17f,Firm,Turf,5,1,1.0,3,2456719,Russian Rumour (IRE),6,M,133,3.0,Olivia Tubb,Jonathan Portman,3873.16,69.0,Make Believe (GB),Russian Rave (GB),Danehill Dancer
2023-06-17,GB,Bath,17:15,Rosemary Paintings 80th Birthday Apprentice Handicap (Bath Summer Stayers Series Qualifier),Flat,Class 5,2m1f,17f,Firm,Turf,5,3,2.0,1,2057749,Cherry Cola (GB),7,M,136,3.0,Frederick Larson,Sheena West,1817.44,65.0,Sixties Icon (GB),Rose Cheval (USA),Johannesburg
2023-06-17,GB,Bath,17:15,Rosemary Paintings 80th Birthday Apprentice Handicap (Bath Summer Stayers Series Qualifier),Flat,Class 5,2m1f,17f,Firm,Turf,5,2,3.0,5,2394510,Masterdream (FR),6,G,133,4.33,Millie Wonnacott,Neil Mulholland,907.98,67.0,Sea The Stars (IRE),Santa Christiana (FR),Danehill Dancer
2023-06-17,GB,Bath,17:15,Rosemary Paintings 80th Birthday Apprentice Handicap (Bath Summer Stayers Series Qualifier),Flat,Class 5,2m1f,17f,Firm,Turf,5,6,4.0,6,1652373,Molliana (GB),8,M,118,8.5,Elisha Whittington,Neil Mulholland,454.36,50.0,Olden Times (GB),The Screamer (IRE),Insan
2023-06-17,GB,Bath,17:15,Rosemary Paintings 80th Birthday Apprentice Handicap (Bath Summer Stayers Series Qualifier),Flat,Class 5,2m1f,17f,Firm,Turf,5,4,5.0,4,3828003,Testing Faith (GB),4,G,122,9.0,Luke Catton,Ian Williams,226.44,54.0,Time Test (GB),Midnight (IRE),Galileo
2023-06-17,GB,Bath,16:10,Play With The Finest Bookmaker - Fitzdares Handicap,Flat,Class 6,1m,8f,Firm,Turf,5,1,1.0,1,4436502,Gone (IRE),3,F,135,3.5,Joe Fanning,Charlie Johnston,3245.08,67.0,Gustav Klimt (IRE),Assault On Rome (IRE),Holy Roman Emperor
2023-06-17,GB,Bath,16:10,Play With The Finest Bookmaker - Fitzdares Handicap,Flat,Class 6,1m,8f,Firm,Turf,5,2,2.0,5,4471660,Oriental Dancer (GB),3,F,135,2.62,Sean Levey,Richard Hannon,1522.72,67.0,Dubawi (IRE),Geisha Girl (IRE),Galileo
2023-06-17,GB,Bath,16:10,Play With The Finest Bookmaker - Fitzdares Handicap,Flat,Class 6,1m,8f,Firm,Turf,5,5,3.0,2,4701449,Passing Time (GB),3,G,130,5.5,Joshua Bryan,Andrew Balding,760.74,62.0,Time Test (GB),Flashing Colour (GER),Pivotal
2023-06-17,GB,Bath,16:10,Play With The Finest Bookmaker - Fitzdares Handicap,Flat,Class 6,1m,8f,Firm,Turf,5,4,4.0,3,4175395,Apex (IRE),3,G,132,7.0,Pat Cosgrave,George Boughey,380.68,64.0,Kessaar (IRE),Bisous Y Besos (IRE),Big Bad Bob
2023-06-17,GB,Bath,16:10,Play With The Finest Bookmaker - Fitzdares Handicap,Flat,Class 6,1m,8f,Firm,Turf,5,3,5.0,4,4725959,Lunario (IRE),3,C,133,8.5,Luke Morris,Robyn Brisland,189.72,65.0,Gregorian (IRE),Levade (GB),Dawn Approach
2023-06-17,GB,Bath,16:45,Olivias Boutique Keynsham Handicap,Flat,Class 6,1m,8f,Firm,Turf,4,2,1.0,2,3662560,My Ambition (IRE),4,G,135,3.0,George Rooke,Denis Coakley,3245.08,60.0,Galileo Gold (GB),Rise Up Lotus (IRE),Zebedee
2023-06-17,GB,Bath,16:45,Olivias Boutique Keynsham Handicap,Flat,Class 6,1m,8f,Firm,Turf,4,3,2.0,5,3097957,Blue Hero (CAN),5,G,133,2.38,Finley Marsh,Adrian Wintle,1522.72,58.0,Air Force Blue (USA),Pomarine (USA),Aptitude
2023-06-17,GB,Bath,16:45,Olivias Boutique Keynsham Handicap,Flat,Class 6,1m,8f,Firm,Turf,4,4,3.0,4,4275936,Susanbequick (IRE),4,F,122,11.0,Luke Morris,Joe Ponting,760.74,47.0,Dabirsim (FR),Brynica (FR),Desert Style
2023-06-17,GB,Bath,16:45,Olivias Boutique Keynsham Handicap,Flat,Class 6,1m,8f,Firm,Turf,4,5,4.0,1,3703480,Cape Cornwall Rose (IRE),4,F,121,4.0,Joe Fanning,Sir Mark Todd,380.68,46.0,Awtaad (IRE),Alice Rose (IRE),Manduro
2023-06-17,GB,Bath,15:35,Hot Air Balloon Company British EBF Novice Stakes (GBB Race),Flat,Class 5,5f,5f,Firm,Turf,5,1,1.0,4,5089286,Crows Nest (IRE),3,G,138,2.1,Pat Cosgrave,George Boughey,4104.0,,U S Navy Flag (USA),Argentina (IRE),Sadlers Wells
2023-06-17,GB,Bath,15:35,Hot Air Balloon Company British EBF Novice Stakes (GBB Race),Flat,Class 5,5f,5f,Firm,Turf,5,2,2.0,5,4998720,Rogue De Vega (GB),3,G,136,4.2,Luke Morris,Tom Clover,1926.6,,Lope De Vega (IRE),Lamps Of Heaven (IRE),Invincible Spirit
2023-06-17,GB,Bath,15:35,Hot Air Balloon Company British EBF Novice Stakes (GBB Race),Flat,Class 5,5f,5f,Firm,Turf,5,3,3.0,3,5007758,Never This Way (IRE),3,C,128,3.0,Adam Farragher,William Haggas,963.68,,No Nay Never (USA),Gravity Flow (IRE),Exceed And Excel
2023-06-17,GB,Bath,15:35,Hot Air Balloon Company British EBF Novice Stakes (GBB Race),Flat,Class 5,5f,5f,Firm,Turf,5,4,4.0,2,4538655,Outreach (GB),3,G,131,26.0,Joey Haynes,Mark Usher,481.84,,Outstrip (GB),Willbeme (GB),Kyllachy
2023-06-17,GB,Bath,15:35,Hot Air Balloon Company British EBF Novice Stakes (GBB Race),Flat,Class 5,5f,5f,Firm,Turf,5,5,5.0,1,4425848,Autumn Lights (GB),3,F,126,67.0,John Fahy,Pat Murphy,,,Harry Angel (IRE),Autumn Leaves (GB),Helmet
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,2,1.0,2,3366905,Vintage Clarets (GB),4,G,137,4.33,Callum Hutchinson,Richard Fahey,12740.0,87.0,Ardad (IRE),Enchanted Princess (GB),Royal Applause
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,3,2.0,8,1887402,Lihou (GB),7,G,137,8.5,Ben Curtis,David Evans,5972.5,84.0,Mayson (GB),Kodiac Island (GB),Kodiac
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,1,3.0,10,3142198,Ancient Times (GB),5,G,139,10.0,Pierre-Louis Jamin,Harry Eustace,2990.0,89.0,Exceed And Excel (AUS),Oriental Step (IRE),Tamayuz
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,6,4.0,5,3997634,Vespasian (IRE),4,G,132,8.0,Harry Burns,Simon & Ed Crisford,1492.5,82.0,Acclamation (GB),Lady Livius (IRE),Titus Livius
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,8,5.0,7,1967538,Leodis Dream (IRE),7,G,130,13.0,Graham Lee,Paul Midgley,747.5,77.0,Dandy Man (IRE),Paddy Again (IRE),Moss Vale
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,10,6.0,6,4175476,Absolutelyflawless (GB),3,F,126,10.0,David Probert,David Loughnane,370.0,79.0,Ribchester (IRE),Key Light (IRE),Acclamation
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,9,7.0,3,3545644,Speedacus (IRE),4,G,126,10.0,Jason Watson,David OMeara,187.5,73.0,Slade Power (IRE),Jamboree Girl (GB),Bahamian Bounty
2023-06-17,GB,Chester,14:10,Edinburgh Gin Spritz Handicap,Flat,Class 3,5f,5f,Good,Turf,8,5,8.0,4,989997,Copper Knight (IRE),9,G,132,3.5,Sean Kirrane,Tim Easterby,92.5,82.0,Sir Prancealot (IRE),Mystic Dream (GB),Oasis Dream
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,2,1.0,9,3607413,Box To Box (IRE),4,G,135,3.25,James Doyle,Hugo Palmer,6115.2,85.0,Kodiac (GB),Alyaafel (GB),Cape Cross
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,8,2.0,6,2783583,Jean Baptiste (IRE),6,G,126,4.6,Jonny Peate,Roger Fell & Sean Murray,2866.8,79.0,Invincible Spirit (IRE),Pioneer Bride (USA),Gone West
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,5,3.0,7,3880889,Bizarre Law (GB),4,G,132,10.0,David Probert,Andrew Balding,1435.2,82.0,Lawman (FR),Bizzarria (GB),Lemon Drop Kid
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,4,4.0,10,1813523,Cockalorum (IRE),8,G,134,6.5,Ben Curtis,Roger Fell & Sean Murray,716.4,84.0,Cape Cross (IRE),Opinionated (IRE),Dubai Destination
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,9,5.0,2,4375483,Oriole (GB),4,F,129,7.0,Rob Hornby,Ralph Beckett,358.8,79.0,Nathaniel (IRE),Redstart (GB),Cockney Rebel
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,7,6.0,5,1371694,Power Of Darkness (GB),8,G,130,15.0,Kieran Shoemark,Charlie Fellowes,177.6,80.0,Power (GB),Summers Lease (GB),Pivotal
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,6,7.0,8,2377016,Sucellus (GB),7,G,132,23.0,Alistair Rawlinson,Oliver Greenall & Josh Guerriero,90.0,82.0,Dansili (GB),Primevere (IRE),Singspiel
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,11,8.0,1,3986094,Khathak (GB),4,G,125,13.0,Billy Garritty,Richard Fahey,44.4,75.0,Iffraaj (GB),Mujarah (IRE),Marju
2023-06-17,GB,Chester,14:45,Edinburgh Gin Cannonball Handicap,Flat,Class 4,1m2½f,10.5f,Good,Turf,9,1,9.0,4,3726901,Evocative Spark (IRE),4,G,135,11.0,Rhys Clutterbuck,Ollie Sangster,,85.0,Frankel (GB),Hyper Dream (IRE),Oasis Dream
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,1,1.0,7,3293692,The Thunderer (IRE),5,G,139,4.5,Ben Curtis,Ollie Sangster,5096.0,79.0,Gleneagles (IRE),Purple Sage (IRE),Danehill Dancer
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,6,2.0,9,867279,Restorer (GB),11,G,127,7.0,Ben Sanderson,Ian Williams,2389.0,70.0,Mastercraftsman (IRE),Moon Empress (FR),Rainbow Quest
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,2,3.0,5,3588892,Tudor (IRE),4,G,136,3.5,J F Egan,Kevin Philippart De Foy,1196.0,76.0,Zoffany (IRE),Tiger Lilly (IRE),Galileo
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,3,4.0,6,2774391,Daheer (USA),6,G,135,26.0,David Probert,Mark Loughnane,597.0,75.0,Speightstown (USA),Elraazy (USA),Malibu Moon
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,7,5.0,2,3200002,Bookmark (GB),5,M,126,5.0,Callum Hutchinson,Mark Loughnane,299.0,69.0,New Approach (IRE),Free Verse (GB),Danehill Dancer
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,8,6.0,4,3521658,Aldbourne (IRE),4,G,125,11.0,Pierre-Louis Jamin,Harry Eustace,148.0,68.0,Awtaad (IRE),Always Gentle (IRE),Redback
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,9,7.0,1,3263957,Tio Mio (IRE),5,G,118,7.5,Gina Mangan,Gary Hanmer,75.0,61.0,Teofilo (IRE),Celeste De La Mer (IRE),Zoffany
2023-06-17,GB,Chester,17:00,Edinburgh Gin Rhubarb & Ginger Handicap,Flat,Class 5,1m4½f,12.5f,Good,Turf,8,5,8.0,3,3430965,Thunder Ahead (GB),5,G,132,15.0,Cieren Fallon,Alan King,37.0,72.0,Dark Angel (IRE),Champagne Time (IRE),Oasis Dream
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,6,1.0,3,2088034,Capone (GER),8,G,120,2.5,Ben Curtis,Dominic Ffrench Davis,6115.2,65.0,Nathaniel (IRE),Codera (GER),Zilzal
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,2,2.0,6,3835622,Percy Jones (GB),4,G,131,11.0,David Probert,Mark Loughnane,2866.8,76.0,Sir Percy (GB),Luisa Calderon (GB),Nayef
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,1,3.0,2,3540051,Malakahna (FR),5,M,132,4.5,Callum Hutchinson,Ian Williams,1435.2,80.0,Manduro (GER),Alakhana (FR),Dalakhani
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,3,4.0,5,2891757,Grand Canal (IRE),6,G,130,5.5,Paul Mulrennan,Jim Goldie,716.4,75.0,Australia (GB),Loreto (IRE),Holy Roman Emperor
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,5,5.0,7,1646639,Heart Of Soul (IRE),8,G,125,26.0,Graham Lee,Patrick Morris,358.8,70.0,Makfi (GB),Hadrians Waltz (IRE),Holy Roman Emperor
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,4,6.0,4,3142182,Oman (IRE),5,G,127,4.5,Franny Norton,Ian Williams,177.6,72.0,Australia (GB),Awohaam (IRE),Iffraaj
2023-06-17,GB,Chester,15:55,Manor Car Hire Handicap,Flat,Class 4,2m,16f,Good,Turf,7,7,7.0,1,3626713,Lumberjack (GB),4,G,117,51.0,J F Egan,David Loughnane,90.0,62.0,Mastercraftsman (IRE),Wood Chorus (GB),Singspiel
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,2,1.0,10,4436511,Saxon King (GB),3,C,132,8.5,Kieran Shoemark,Charles Hills,30576.0,87.0,Zoustar (AUS),Brevity (USA),Street Cry
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,1,2.0,4,4442200,Royal Dubai (FR),3,C,135,5.5,Ben Curtis,Marco Botti,14334.0,90.0,Seahenge (USA),Sand Rose (FR),Aussie Rules
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,12,3.0,2,4436503,Sophias Starlight (FR),3,F,118,5.5,J F Egan,Grant Tuer,7176.0,73.0,Hunters Light (IRE),Endeavor (FR),Cape Cross
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,4,4.0,8,4542736,Tafreej (IRE),3,G,129,4.0,Cieren Fallon,William Haggas,3582.0,84.0,Shamardal (USA),Taqaareed (IRE),Sea The Stars
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,3,5.0,9,4373437,Berkshire Phantom (IRE),3,G,129,26.0,David Probert,Andrew Balding,1794.0,84.0,Expert Eye (GB),Silver Step (FR),Silver Frost
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,11,6.0,3,4498957,Reidh (IRE),3,C,121,13.0,Graham Lee,Richard Fahey,888.0,76.0,Kodiac (GB),Praskovia (IRE),Manduro
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,5,7.0,11,4336795,In These Shoes (IRE),3,F,128,7.0,Franny Norton,Charlie Johnston,450.0,83.0,Starspangledbanner (AUS),Majenta (IRE),Marju
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,7,8.0,7,4534425,Monte Linas (IRE),3,G,128,15.0,James Doyle,Simon & Ed Crisford,222.0,83.0,Territories (IRE),Miss Carbonia (IRE),Lilbourne Lad
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,6,9.0,1,4701440,Lunatick (GB),3,C,128,13.0,Rob Hornby,Hughie Morrison,,83.0,Sea The Moon (GER),Alvarita (GB),Selkirk
2023-06-17,GB,Chester,15:20,Edinburgh Gin Seaside Handicap,Flat,Class 2,7½f,7.5f,Good,Turf,10,10,10.0,5,4175582,Supaspecialawesome (IRE),3,G,121,26.0,Jason Watson,Hugo Palmer,,76.0,Cotai Glory (GB),Special Chocolate (FR),Canford Cliffs
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,3,1.0,8,3533596,Faro De San Juan (IRE),4,G,132,26.0,G Cheyne,Dylan Cunha,6115.2,82.0,Almanzor (FR),Fixette (IRE),Kodiac
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,10,2.0,9,2615849,Bezzas Lad (IRE),6,G,122,34.0,Alistair Rawlinson,Tony Carroll,2866.8,72.0,Society Rock (IRE),Red Rosanna (GB),Bertolini
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,2,3.0,6,3092699,Cuban Breeze (GB),5,M,133,5.5,Ben Curtis,David Evans,1435.2,83.0,Bated Breath (GB),Madam Mojito (USA),Smart Strike
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,5,4.0,2,3526644,Roman Dragon (GB),4,G,130,2.38,James Doyle,Hugo Palmer,716.4,80.0,Heeraat (IRE),Trixie Malone (GB),Ishiguru
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,8,5.0,7,3468215,Hello Zabeel (IRE),5,G,126,13.0,Kieran Shoemark,Charlie Fellowes,358.8,76.0,Frankel (GB),Lady Of The Desert (USA),Rahy
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,7,6.0,1,3177303,Ramon Di Loria (IRE),5,G,124,7.0,Ryan Sexton,Ewan Whillans,177.6,77.0,Dandy Man (IRE),Pria Bona (IRE),Blu Air Force
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,1,7.0,5,2806541,Ventura Express (GB),6,G,135,8.0,Graham Lee,Paul Midgley,90.0,85.0,Mayson (GB),Mail Express (IRE),Cape Cross
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,6,8.0,4,3039452,Toussarok (GB),5,G,129,13.0,Franny Norton,Charlie Johnston,44.4,79.0,Iffraaj (GB),Frangipanni (IRE),Dansili
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,9,9.0,10,2578006,Ballyare (GB),6,G,125,19.0,Paul Mulrennan,Lucinda Russell,,75.0,Hot Streak (IRE),Saddlers Bend (IRE),Refuse To Bend
2023-06-17,GB,Chester,16:30,Edinburgh Gin Classic Handicap,Flat,Class 4,6f,6f,Good,Turf,10,4,10.0,3,3230972,Follow Your Heart (IRE),5,G,132,23.0,David Probert,Mark Loughnane,,82.0,Estidhkaar (IRE),Al Gharrafa (GB),Dutch Art
2023-06-17,GB,Chester,13:35,Juddmonte EBF Restricted Novice Stakes (Bands B C And D) (Qualifier) (GBB/IRE Incentive Race),Flat,Class 2,6f,6f,Good,Turf,7,6,1.0,2,4924592,Innvincible Friend (IRE),2,C,129,8.0,Alistair Rawlinson,Tom Dascombe,15288.0,,Inns Of Court (IRE),Pavlopetri (IRE),Danehill Dancer
2023-06-17,GB,Chester,13:35,Juddmonte EBF Restricted Novice Stakes (Bands B C And D) (Qualifier) (GBB/IRE Incentive Race),Flat,Class 2,6f,6f,Good,Turf,7,1,2.0,5,5017662,Bits And Bobs (IRE),2,C,133,3.75,David Probert,Andrew Balding,7167.0,,James Garfield (IRE),Smart Mover (IRE),Fast Company
2023-06-17,GB,Chester,13:35,Juddmonte EBF Restricted Novice Stakes (Bands B C And D) (Qualifier) (GBB/IRE Incentive Race),Flat,Class 2,6f,6f,Good,Turf,7,2,3.0,3,5021322,Master Franca (IRE),2,C,131,6.0,James Doyle,Hugo Palmer,3588.0,,Kodiac (GB),Martina Franca (GB),Paco Boy
2023-06-17,GB,Chester,13:35,Juddmonte EBF Restricted Novice Stakes (Bands B C And D) (Qualifier) (GBB/IRE Incentive Race),Flat,Class 2,6f,6f,Good,Turf,7,5,4.0,1,5073235,Eco Power Boy (IRE),2,G,129,51.0,Dale Swift,Seb Spencer,1791.0,,Zoffany (IRE),Gravity Queen (IRE),Holy Roman Emperor
2023-06-17,GB,Chester,13:35,Juddmonte EBF Restricted Novice Stakes (Bands B C And D) (Qualifier) (GBB/IRE Incentive Race),Flat,Class 2,6f,6f,Good,Turf,7,4,5.0,4,4924784,Je Ne Sais Quoi (IRE),2,F,130,2.62,Cieren Fallon,William Haggas,897.0,,Dandy Man (IRE),Rouge Noir (GB),Showcasing
